 ,Label,Area,Mean,StdDev,Mode,Min,Max,MinThr,MaxThr,Filename
1,tiff_images - Copy:12-A1-PHI.tif:1,43112,139.410,36.932,135,77,248,77,65535,tiff_images - Copy
2,tiff_images - Copy0000.tif,43112,139.410,36.932,135,77,248,77,65535,tiff_images - Copy0000.tif
3,tiff_images - Copy0001.tif,45495,274.717,66.322,311,148,440,148,65535,tiff_images - Copy0001.tif
4,tiff_images - Copy0002.tif,192643,1120.207,61.514,1108,1008,1264,1008,65535,tiff_images - Copy0002.tif
5,tiff_images - Copy0003.tif,269400,0.000,0.000,0,0,0,0,0,tiff_images - Copy0003.tif
6,tiff_images - Copy0004.tif,43112,139.410,36.932,135,77,248,77,65535,tiff_images - Copy0004.tif
7,tiff_images - Copy0005.tif,45495,274.717,66.322,311,148,440,148,65535,tiff_images - Copy0005.tif
8,tiff_images - Copy0006.tif,69392,80.101,21.581,79,47,154,47,65535,tiff_images - Copy0006.tif
9,tiff_images - Copy0007.tif,68567,264.149,63.078,315,144,432,144,65535,tiff_images - Copy0007.tif
10,tiff_images - Copy0008.tif,192643,1120.207,61.514,1108,1008,1264,1008,65535,tiff_images - Copy0008.tif
11,tiff_images - Copy0009.tif,269400,0.000,0.000,0,0,0,0,0,tiff_images - Copy0009.tif
12,tiff_images - Copy0010.tif,69392,80.101,21.581,79,47,154,47,65535,tiff_images - Copy0010.tif
13,tiff_images - Copy0011.tif,68567,264.149,63.078,315,144,432,144,65535,tiff_images - Copy0011.tif
14,tiff_images - Copy0012.tif,57607,85.888,22.564,81,50,158,50,65535,tiff_images - Copy0012.tif
15,tiff_images - Copy0013.tif,58246,241.664,58.939,244,130,386,130,65535,tiff_images - Copy0013.tif
16,tiff_images - Copy0014.tif,192643,1120.207,61.514,1108,1008,1264,1008,65535,tiff_images - Copy0014.tif
17,tiff_images - Copy0015.tif,269400,0.000,0.000,0,0,0,0,0,tiff_images - Copy0015.tif
18,tiff_images - Copy0016.tif,57607,85.888,22.564,81,50,158,50,65535,tiff_images - Copy0016.tif
19,tiff_images - Copy0017.tif,58246,241.664,58.939,244,130,386,130,65535,tiff_images - Copy0017.tif
20,tiff_images - Copy0018.tif,60217,90.269,20.871,104,52,157,52,65535,tiff_images - Copy0018.tif
21,tiff_images - Copy0019.tif,54211,249.687,62.478,305,135,390,135,65535,tiff_images - Copy0019.tif
22,tiff_images - Copy0020.tif,192643,1120.207,61.514,1108,1008,1264,1008,65535,tiff_images - Copy0020.tif
23,tiff_images - Copy0021.tif,269400,0.000,0.000,0,0,0,0,0,tiff_images - Copy0021.tif
24,tiff_images - Copy0022.tif,60217,90.269,20.871,104,52,157,52,65535,tiff_images - Copy0022.tif
25,tiff_images - Copy0023.tif,54211,249.687,62.478,305,135,390,135,65535,tiff_images - Copy0023.tif
26,tiff_images - Copy0024.tif,44235,132.513,37.913,138,73,275,73,65535,tiff_images - Copy0024.tif
27,tiff_images - Copy0025.tif,44699,244.618,69.291,247,132,454,132,65535,tiff_images - Copy0025.tif
28,tiff_images - Copy0026.tif,192643,1120.207,61.514,1108,1008,1264,1008,65535,tiff_images - Copy0026.tif
29,tiff_images - Copy0027.tif,269400,0.000,0.000,0,0,0,0,0,tiff_images - Copy0027.tif
30,tiff_images - Copy0028.tif,44235,132.513,37.913,138,73,275,73,65535,tiff_images - Copy0028.tif
31,tiff_images - Copy0029.tif,44699,244.618,69.291,247,132,454,132,65535,tiff_images - Copy0029.tif
32,tiff_images - Copy0030.tif,61469,83.330,21.315,102,47,149,47,65535,tiff_images - Copy0030.tif
33,tiff_images - Copy0031.tif,63278,267.830,58.597,326,145,410,145,65535,tiff_images - Copy0031.tif
34,tiff_images - Copy0032.tif,192643,1120.207,61.514,1108,1008,1264,1008,65535,tiff_images - Copy0032.tif
35,tiff_images - Copy0033.tif,269400,0.000,0.000,0,0,0,0,0,tiff_images - Copy0033.tif
36,tiff_images - Copy0034.tif,61469,83.330,21.315,102,47,149,47,65535,tiff_images - Copy0034.tif
37,tiff_images - Copy0035.tif,63278,267.830,58.597,326,145,410,145,65535,tiff_images - Copy0035.tif
38,tiff_images - Copy0036.tif,52563,96.748,21.483,108,55,164,55,65535,tiff_images - Copy0036.tif
39,tiff_images - Copy0037.tif,51537,225.717,51.385,225,121,344,121,65535,tiff_images - Copy0037.tif
40,tiff_images - Copy0038.tif,192643,1120.207,61.514,1108,1008,1264,1008,65535,tiff_images - Copy0038.tif
41,tiff_images - Copy0039.tif,269400,0.000,0.000,0,0,0,0,0,tiff_images - Copy0039.tif
42,tiff_images - Copy0040.tif,52563,96.748,21.483,108,55,164,55,65535,tiff_images - Copy0040.tif
43,tiff_images - Copy0041.tif,51537,225.717,51.385,225,121,344,121,65535,tiff_images - Copy0041.tif
44,tiff_images - Copy0042.tif,71655,94.346,25.990,97,54,178,54,65535,tiff_images - Copy0042.tif
45,tiff_images - Copy0043.tif,60242,252.814,56.252,284,138,387,138,65535,tiff_images - Copy0043.tif
46,tiff_images - Copy0044.tif,192643,1120.207,61.514,1108,1008,1264,1008,65535,tiff_images - Copy0044.tif
47,tiff_images - Copy0045.tif,269400,0.000,0.000,0,0,0,0,0,tiff_images - Copy0045.tif
48,tiff_images - Copy0046.tif,71655,94.346,25.990,97,54,178,54,65535,tiff_images - Copy0046.tif
49,tiff_images - Copy0047.tif,60242,252.814,56.252,284,138,387,138,65535,tiff_images - Copy0047.tif
50,tiff_images - Copy0048.tif,52295,81.923,24.017,80,47,154,47,65535,tiff_images - Copy0048.tif
51,tiff_images - Copy0049.tif,47726,192.405,56.172,114,105,367,105,65535,tiff_images - Copy0049.tif
52,tiff_images - Copy0050.tif,192643,1120.207,61.514,1108,1008,1264,1008,65535,tiff_images - Copy0050.tif
53,tiff_images - Copy0051.tif,269400,0.000,0.000,0,0,0,0,0,tiff_images - Copy0051.tif
54,tiff_images - Copy0052.tif,52295,81.923,24.017,80,47,154,47,65535,tiff_images - Copy0052.tif
55,tiff_images - Copy0053.tif,47726,192.405,56.172,114,105,367,105,65535,tiff_images - Copy0053.tif
