Id,Date,Delta T [min],Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],User Signal Intensity,Error,Error Code,Phase [°],Amplitude [µV],Reference Amplitude [µV],Signal LED Current,Reference LED Current,Battery [V]
1838896,22/5/26 8:09:15,0.000,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,157.128,μmol/L,25.164,°C,1021.000,hPa,Humid,63,0,,0,20.936,16930,223342.25,22.05,70.54,#N/A
1838902,22/5/26 8:09:18,0.043,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,157.302,μmol/L,25.165,°C,1021.000,hPa,Humid,63,0,,0,20.924,16934,223299.04,22.05,70.54,#N/A
1838911,22/5/26 8:09:21,0.094,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,157.238,μmol/L,25.169,°C,1021.000,hPa,Humid,63,0,,0,20.927,16933,223306.12,22.05,70.54,#N/A
1838922,22/5/26 8:09:24,0.144,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,157.139,μmol/L,25.171,°C,1021.000,hPa,Humid,63,0,,0,20.933,16936,223291.88,22.05,70.54,#N/A
1838931,22/5/26 8:09:27,0.194,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,156.969,μmol/L,25.184,°C,1021.000,hPa,Humid,63,0,,0,20.940,16929,223275.77,22.05,70.54,#N/A
1838943,22/5/26 8:09:30,0.244,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,157.042,μmol/L,25.175,°C,1021.000,hPa,Humid,63,0,,0,20.938,16939,223271.10,22.05,70.54,#N/A
1838953,22/5/26 8:09:33,0.294,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,157.201,μmol/L,25.173,°C,1021.000,hPa,Humid,63,0,,0,20.928,16929,223248.87,22.05,70.54,#N/A
1838962,22/5/26 8:09:36,0.344,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,157.404,μmol/L,25.175,°C,1021.000,hPa,Humid,63,0,,0,20.914,16935,223240.41,22.05,70.54,#N/A
1838972,22/5/26 8:09:39,0.394,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,157.157,μmol/L,25.155,°C,1021.000,hPa,Humid,63,0,,0,20.937,16932,223232.88,22.05,70.54,#N/A
1838983,22/5/26 8:09:42,0.444,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,157.349,μmol/L,25.165,°C,1021.000,hPa,Humid,63,0,,0,20.921,16922,223228.65,22.05,70.54,#N/A
1838989,22/5/26 8:09:45,0.493,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,157.154,μmol/L,25.168,°C,1021.000,hPa,Humid,63,0,,0,20.933,16932,223226.80,22.05,70.54,#N/A
1838999,22/5/26 8:09:48,0.544,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,157.259,μmol/L,25.183,°C,1021.000,hPa,Humid,63,0,,0,20.921,16926,223218.97,22.05,70.54,#N/A
1839010,22/5/26 8:09:51,0.594,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,157.246,μmol/L,25.173,°C,1021.000,hPa,Humid,63,0,,0,20.925,16929,223228.65,22.05,70.54,#N/A
1839022,22/5/26 8:09:54,0.644,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,157.265,μmol/L,25.167,°C,1021.000,hPa,Humid,63,0,,0,20.926,16926,223212.45,22.05,70.54,#N/A
1839032,22/5/26 8:09:57,0.694,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,157.055,μmol/L,25.161,°C,1021.000,hPa,Humid,63,0,,0,20.942,16928,223194.77,22.05,70.54,#N/A
1839039,22/5/26 8:10:00,0.743,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,157.253,μmol/L,25.157,°C,1021.000,hPa,Humid,63,0,,0,20.930,16924,223208.12,22.05,70.54,#N/A
1839049,22/5/26 8:10:03,0.794,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,157.242,μmol/L,25.165,°C,1021.000,hPa,Humid,63,0,,0,20.928,16921,223190.10,22.05,70.54,#N/A
1839060,22/5/26 8:10:06,0.844,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,156.999,μmol/L,25.187,°C,1021.000,hPa,Humid,63,0,,0,20.937,16920,223183.17,22.05,70.54,#N/A
1839070,22/5/26 8:10:10,0.922,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,157.244,μmol/L,25.165,°C,1021.000,hPa,Humid,63,0,,0,20.928,16922,223170.37,22.05,70.54,#N/A
